"","voyage_1","voyage_2","voyage_3","voyage_4","voyage_5","voyage_6","voyage_7","voyage_8","voyage_9","voyage_10","voyage_11","voyage_12","voyage_13","variable","pca","arma"
"voyage_1",NA,"3.1/4.98(37.7%)","2.41/3.53(32.15%)","2.54/3.78(33.84%)","2.55/2.83(17.28%)","2.48/2.87(19.58%)","2.82/3.7(117.97%)","3.05/4.31(29.4%)","2.93/3.83(24.96%)","3.57/5.68(37.08%)","3.27/4.91(32.71%)","2.7/3.37(19.71%)","3.04/3.96(23.62%)","Time,V","Torque,EngineSpeed,Power,WaterSpeed","5,3,0,0,1,1,0"
"voyage_2","2.7/4.35(43.96%)",NA,"2.42/3.53(61.01%)","2.63/3.78(45.21%)","3.88/2.83(53.26%)","3.58/2.87(38.25%)","3.7/3.7(209.55%)","3.95/4.31(17.14%)","4.06/3.83(14.2%)","4.12/5.68(35.86%)","3.76/4.91(25.85%)","3.59/3.37(13.99%)","4.13/3.96(18.5%)","Time,V","Torque,EngineSpeed,Power,WaterSpeed","2,1,0,0,1,1,0"
"voyage_3","3.19/4.35(28.32%)","3.58/4.98(28.28%)",NA,"3.07/3.78(24.32%)","3.55/2.83(42.15%)","3.4/2.87(33.65%)","3.61/3.7(210.78%)","3.81/4.31(14.57%)","3.8/3.83(11.7%)","4.12/5.68(35.88%)","3.84/4.91(22.37%)","3.51/3.37(11.52%)","3.88/3.96(10.7%)","Time,V","Torque,EngineSpeed,Power,WaterSpeed","5,5,0,0,1,1,0"
"voyage_4","5.12/4.35(18.1%)","5.87/4.98(17.82%)","4.35/3.53(27.33%)",NA,"4.44/2.83(65.6%)","4.32/2.87(57.56%)","5.12/3.7(155.24%)","5.63/4.31(32.49%)","5.32/3.83(42.34%)","6.86/5.68(28%)","6.2/4.91(29.01%)","4.84/3.37(45.07%)","5.57/3.96(42.02%)","Time,V","Torque,EngineSpeed,Power,WaterSpeed","2,0,0,0,1,1,0"
"voyage_5","3.4/4.35(23.06%)","3.94/4.98(21.2%)","2.78/3.53(22.09%)","2.98/3.78(21.98%)",NA,"2.55/2.87(12.56%)","3.22/3.7(33.12%)","3.61/4.31(16.39%)","3.32/3.83(13.96%)","4.64/5.68(17.91%)","4.13/4.91(16.03%)","3/3.37(11.69%)","3.53/3.96(11.01%)","Time,V","Torque,EngineSpeed,Power,WaterSpeed","4,4,0,0,1,1,0"
"voyage_6","3.1/4.35(28.68%)","3.53/4.98(29.1%)","2.54/3.53(28.06%)","2.7/3.78(28.68%)","2.07/2.83(26.31%)",NA,"2.73/3.7(20.72%)","3.07/4.31(28.4%)","2.76/3.83(27.67%)","4.07/5.68(27.74%)","3.63/4.91(25.76%)","2.53/3.37(24.7%)","2.96/3.96(25.3%)","V","Torque,EngineSpeed,Power,WaterSpeed","0,0,0,0,1,1,0"
"voyage_7","4.18/4.35(4.75%)","4.8/4.98(5.58%)","3.39/3.53(6.26%)","3.62/3.78(4.6%)","2.8/2.83(2.96%)","2.81/2.87(3.15%)",NA,"4.19/4.31(3.12%)","3.76/3.83(2.99%)","5.57/5.68(3.97%)","4.95/4.91(2.67%)","3.42/3.37(2.28%)","4.03/3.96(1.97%)","Time,V","Torque,EngineSpeed,Power,WaterSpeed","0,0,0,0,1,0,0"
"voyage_8","3.99/4.35(9.29%)","4.59/4.98(8.93%)","3.26/3.53(10.36%)","3.48/3.78(8.58%)","2.88/2.83(5.28%)","2.86/2.87(4.4%)","3.66/3.7(23.28%)",NA,"3.76/3.83(3.55%)","5.36/5.68(6.83%)","4.78/4.91(3.68%)","3.41/3.37(2.33%)","4/3.96(2.33%)","Time,V","Torque,EngineSpeed,Power,WaterSpeed","1,1,0,0,1,1,0"
"voyage_9","3.23/4.35(47.8%)","4.28/4.98(30.11%)","2.42/3.53(65.98%)","2.8/3.78(50.46%)","3.7/2.83(34.55%)","3.36/2.87(39.54%)","4.07/3.7(41.13%)","4.66/4.31(18.99%)",NA,"5.73/5.68(12.08%)","4.93/4.91(23.24%)","3.77/3.37(30.87%)","4.77/3.96(25.89%)","Time,V","Torque,EngineSpeed,Power,WaterSpeed","1,0,0,0,1,1,0"
"voyage_10","2.2/4.35(51.59%)","2.63/4.98(47.64%)","1.84/3.53(49.07%)","2/3.78(48.61%)","2.28/2.83(18.8%)","2.15/2.87(28.19%)","2.47/3.7(82.52%)","2.73/4.31(37.23%)","2.65/3.83(32.21%)",NA,"2.88/4.91(41.62%)","2.34/3.37(31.4%)","2.75/3.96(30.49%)","Time,V","Torque,EngineSpeed,Power,WaterSpeed","4,3,0,0,1,1,0"
"voyage_11","2.43/4.35(43.66%)","2.68/4.98(46.01%)","2.12/3.53(38.49%)","2.21/3.78(41.53%)","1.86/2.83(31.17%)","1.87/2.87(31.71%)","2.23/3.7(84.38%)","2.42/4.31(43.41%)","2.25/3.83(41.32%)","2.98/5.68(45.97%)",NA,"2.11/3.37(34.86%)","2.35/3.96(40.51%)","V","Torque,EngineSpeed,Power,WaterSpeed","0,0,0,0,1,1,0"
"voyage_12","3.52/4.35(19.67%)","4.03/4.98(19.2%)","2.92/3.53(17.75%)","3.1/3.78(18.47%)","2.66/2.83(7.77%)","2.63/2.87(9.56%)","3.29/3.7(45.36%)","3.67/4.31(14.93%)","3.37/3.83(12.6%)","4.69/5.68(17.26%)","4.2/4.91(14.32%)",NA,"3.58/3.96(9.87%)","Time,V","Torque,EngineSpeed,Power,WaterSpeed","3,1,0,0,1,1,0"
"voyage_13",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
