"","voyage_1","voyage_2","voyage_3","voyage_4","voyage_5","voyage_6","voyage_7","voyage_8","voyage_9","voyage_10","voyage_11","voyage_12","variable","pca","arma"
"voyage_1",NA,"1.1/2.37(52.76%)","1.1/2.45(54.69%)","1.37/3.2(56.24%)","1.88/4.53(56.84%)","1.05/2.22(51.83%)","1.92/4.7(58.95%)","1.8/4.36(59.09%)","1.74/4.01(55.85%)","1.12/2.28(50.39%)","1.01/2.06(50.76%)","0.73/1.3(42.33%)","V","Torque,EngineSpeed,Power,WaterSpeed","0,0,0,0,1,1,0"
"voyage_2","2.99/3.68(20.06%)",NA,"1.97/2.45(19.49%)","2.57/3.2(19.45%)","3.74/4.53(17.41%)","1.85/2.22(16.6%)","3.85/4.7(18.21%)","3.58/4.36(18.75%)","3.43/4.01(14.92%)","2.01/2.28(12.19%)","1.75/2.06(15.21%)","1.11/1.3(14.49%)","V","Torque,EngineSpeed,Power,WaterSpeed","0,0,0,0,1,1,0"
"voyage_3","2.35/3.68(36.8%)","1.58/2.37(33.37%)",NA,"2.04/3.2(35.61%)","2.92/4.53(34.82%)","1.49/2.22(32.43%)","3/4.7(36.09%)","2.8/4.36(36.43%)","2.69/4.01(32.92%)","1.61/2.28(29.29%)","1.42/2.06(31.23%)","0.93/1.3(27.53%)","V","Torque,EngineSpeed,Power,WaterSpeed","0,0,0,0,1,1,0"
"voyage_4","2.28/3.68(42.12%)","2.39/2.37(21.64%)","1.8/2.45(27.88%)",NA,"2.9/4.53(35.67%)","2.07/2.22(17.67%)","3.08/4.7(33.87%)","2.97/4.36(38.5%)","2.66/4.01(33.29%)","2.11/2.28(9.58%)","1.97/2.06(11.03%)","1.69/1.3(44.37%)","Time,V","Torque,EngineSpeed,Power,WaterSpeed","5,1,0,0,1,1,0"
"voyage_5","1.63/3.68(55.92%)","1.11/2.37(52.7%)","1.11/2.45(54.28%)","1.42/3.2(54.65%)",NA,"1.05/2.22(52.05%)","2.07/4.7(55.9%)","1.93/4.36(56.04%)","1.86/4.01(53.37%)","1.13/2.28(50.06%)","1/2.06(51.16%)","0.68/1.3(46.79%)","V","Torque,EngineSpeed,Power,WaterSpeed","0,0,0,0,1,1,0"
"voyage_6","3.05/3.68(18.32%)","2.01/2.37(15.55%)","2.02/2.45(17.46%)","2.63/3.2(17.58%)","3.82/4.53(15.58%)",NA,"3.92/4.7(16.54%)","3.65/4.36(17.08%)","3.5/4.01(13.09%)","2.06/2.28(10%)","1.8/2.06(12.97%)","1.15/1.3(11.62%)","V","Torque,EngineSpeed,Power,WaterSpeed","0,0,0,0,1,1,0"
"voyage_7","1.82/3.68(71.55%)","2.69/2.37(27.17%)","0.89/2.45(74.41%)","1.44/3.2(82.19%)","3.33/4.53(33.91%)","1.78/2.22(44.38%)",NA,"3.61/4.36(21.56%)","2.74/4.01(38.26%)","1.81/2.28(45.35%)","1.52/2.06(52.76%)","0.99/1.3(78.43%)","Time,V","Torque,EngineSpeed,Power,WaterSpeed","0,3,0,0,1,1,0"
"voyage_8","3.48/3.68(9.22%)","2.42/2.37(4.77%)","2.43/2.45(2.61%)","3.05/3.2(8.41%)","4.28/4.53(7.31%)","2.3/2.22(6.07%)","4.38/4.7(6.96%)",NA,"3.95/4.01(4.74%)","2.46/2.28(9.26%)","2.2/2.06(7.37%)","1.53/1.3(21.5%)","V","Torque,EngineSpeed,Power,WaterSpeed","0,0,0,0,1,1,0"
"voyage_9","1.59/3.68(56.91%)","1.1/2.37(52.97%)","1.1/2.45(54.71%)","1.39/3.2(55.29%)","1.95/4.53(55.75%)","1.05/2.22(52.26%)","2/4.7(57.3%)","1.87/4.36(57.43%)",NA,"1.12/2.28(50.49%)","1/2.06(51.31%)","0.69/1.3(45.43%)","V","Torque,EngineSpeed,Power,WaterSpeed","0,0,0,0,1,1,0"
"voyage_10","2.09/3.68(45.66%)","1.65/2.37(29.34%)","1.65/2.45(31.79%)","1.91/3.2(42.85%)","2.42/4.53(43.94%)","1.6/2.22(25.91%)","2.46/4.7(47.53%)","2.34/4.36(48.45%)","2.28/4.01(41.89%)",NA,"1.56/2.06(23.65%)","1.28/1.3(15.58%)","V","Torque,EngineSpeed,Power,WaterSpeed","0,0,0,0,1,1,0"
"voyage_11","2.95/3.68(21.07%)","1.99/2.37(16%)","2/2.45(18.16%)","2.56/3.2(20.14%)","3.66/4.53(18.24%)","1.89/2.22(14.46%)","3.76/4.7(20.05%)","3.5/4.36(20.6%)","3.37/4.01(16.07%)","2.03/2.28(10.58%)",NA,"1.19/1.3(7.38%)","V","Torque,EngineSpeed,Power,WaterSpeed","0,0,0,0,1,1,0"
"voyage_12",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
