start,end,start_time,end_time,start_location,end_location,way
18088,21352,2018/4/10 00:00,2018/4/21 13:05,釜山（韓國）,科隆（巴拿馬）,E
26774,31923,2018/5/10 17:15,2018/5/28 23:55,科隆（巴拿馬）,釜山（韓國）,W
43146,49092,2019/8/4 19:25,2019/8/26 23:55,科隆（巴拿馬）,釜山（韓國）,W
53612,58416,2019/10/13 12:20,2020/1/2 03:25,溫哥華（加拿大）,高雄（臺灣）,W
60063,64032,2020/1/23 03:05,2020/2/5 22:05,鹽田（中國）,塔科馬（美國）,E
70994,74742,2020/3/23 09:40,2020/4/6 20:50,鹽田（中國）,塔科馬（美國）,E
76341,81272,2020/4/13 00:25,2020/4/30 03:20,羅伯茨角（加拿大）,高雄（臺灣）,W
98526,102398,2020/7/8 00:05,2020/7/21 10:55,臺中,長堤（美國）,E
103269,106296,2020/7/28 20:55,2020/8/12 11:05,奧克蘭（美國）,釜山（韓國）,W
